Customer,"Sold Tons","Quoted Tons (From 'Jobs Quoted')","Quoted Tons That We Sold To Others (From 'Jobs Quoted')","Quoted Tons That We Sold (From 'Jobs Quoted')","Quoted Tons (From 'Quoted Vs. Sold')","Quoted Tons That We Sold To Others (From 'Quoted Vs. Sold')","Quoted Tons That We Sold (From 'Quoted Vs. Sold')"
"MILNE DESIGN AND BUILD ",-0.1,11.62487513,0,-0.1,25.1,25.2,25.1
"A-1 STEEL",-0.1,27.029536057,-0.3,-0.4,27.84,27.94,27.84
"VALLEY IRON WORKS",-0.1,11.1993906,0,-0.1,24.2,24.3,24.2
"HEAVY STRUCTURES",20.62605524,-0.3,-21.02605524,-0.4,22.28,1.65394476,22.28
"JOEL HEWATT CO.",18.90821149,46.898053018,19.77981651,38.688028,29.71,-10.14821149,8.76
"FISHER METAL PRODUCTS",-0.1,19.25710126,0,-0.1,20.8,20.9,20.8
"J&D FABRICATION & REPAIR",-0.1,19.14386082,0,-0.1,20.68,20.78,20.68
"ALLEYS WELDING INC",-0.1,19.25710126,0,-0.1,19.64,19.74,19.64
"LHL CONSTRUCTION, INC.",8.442009822,53.011400822,-0.499999999999998,7.942009822,66.45,39.767990178,48.21
"TELKO ENTERPRISES",-0.1,16.44495108,0,-0.1,17.76,17.86,17.76
"ROMAK IRON WORKS",-0.1,11.416839555,7.567608416,7.467608416,25.41,17.34,17.24
W&W,-0.1,26.61758753,0,-0.1,16.7,16.8,16.7
"RAZCO METAL ",-0.1,14.97364873,0,-0.1,16.17,16.27,16.17
"SCHERER STEEL STRUCTURES, INC",-0.1,14.67070591,-0.2,-0.3,15.65,15.75,15.65
"AMFAB STEEL, INC.",-0.1,13.85390582,-0.1,-0.2,15.07,15.17,15.07
"WMK AND CO",-0.1,13.58263457,0,-0.1,14.67,14.77,14.67
"DWC CONSTRUCTION ",12.8032316,12.8032316,0,12.8032316,13.83,-12.9032316,-0.1
"SCHROEDER IRON CORPORATION",-0.1,12.35714957,0,-0.1,13.45,13.55,13.45
"WASHINGTON IRON WORKS",-0.1,12.35714957,0,-0.1,13.45,13.55,13.45
"SANTA CLARA STEEL ",-0.1,11.62487513,0,-0.1,12.55,12.65,12.55
"S R FREEMAN INC.",-0.1,11.62487513,0,-0.1,12.55,12.65,12.55
"WYNRIGHT (ILLINOIS)",5.769528717,6.632341623,-0.0336110060000001,5.735917711,20.27,1.970471283,7.74
"IBS USA INC",-0.1,11.50385017,0,-0.1,12.42,12.52,12.42
"VP BUILDINGS - MO",-0.1,11.05517393,-0.2,-0.3,11.94,12.04,11.94
"ADVANCED BUILDING METAL FAB",-0.1,20.604190427,-0.1,-0.2,21.3,21.4,21.3
"WESTERN ERECTORS STRUCTURAL ST",-0.1,12.11724919,0,-0.1,11.81,11.91,11.81
"SCHUFF STEEL CA",-0.1,10.21206045,0,-0.1,11.03,11.13,11.03
"CHIEF INDUSTRIES",-0.1,32.502701864,-0.7,-0.8,35.09,35.19,35.09
"LIBERTY STEEL INC",-0.1,15.921152055,-0.1,-0.2,17.19,17.29,17.19
"MICHAEL AND COMPANY",-0.1,8.442009822,8.542009822,8.442009822,9.12,0,-0.1
"VALLEY IRON FAB. ERECTORS",3.4,11.092769832,-0.341267377,3.058732623,15.39,5.17,8.57
"BLUFF MANUFACTURING, INC",-0.1,8.86218024,-0.1,-0.2,9.56,9.66,9.56
"GLAZIER IRON WORKS",-0.1,7.545766844,0,-0.1,8.15,8.25,8.15
"G2 METAL FAB",-0.1,8.524230763,-0.2,-0.3,9.2,9.3,9.2
"HEARTLAND ENGINEERED PRODUCTS",-0.1,6.5263381,0,-0.1,7.05,7.15,7.05
"FALCON IRON INC.",-0.1,11.516796716,-0.2,-0.3,15.32,15.42,15.32
"ACCELERATED METAL FABRICATION ",-0.1,3.524155617,0,-0.1,6.68,6.78,6.68
"ADDISON, INC.",-0.1,4.405545324,0,-0.1,4.76,4.86,4.76
"VDS WEST",-0.1,4.399577856,0,-0.1,4.75,4.85,4.75
"MCSWEENEY STEEL COMPANY",-0.1,4.159982562,-0.1,-0.2,4.49,4.59,4.49
"FABCO METAL PRODUCTS",-0.1,3.908304751,0,-0.1,4.22,4.32,4.22
"ALLIED STEEL BUILDINGS, INC",-0.1,3.461750478,0,-0.1,3.74,3.84,3.74
"SCHULTE BLDG SYSTEMS - AL",-0.1,2.560634501,0,-0.1,2.77,2.87,2.77
"NORTHERN STEEL CO ",-0.1,2.422624856,0,-0.1,2.62,2.72,2.62
"KASCO STRUCTURES LLC",-0.1,2.141737737,-0.1,-0.2,2.31,2.41,2.31
"BC STEEL BUILDINGS INC",-0.1,0.681471623,0,-0.1,2.01,2.11,2.01
"NOVA GROUP INC.",0.42,1.846263126,-0.052669857,0.367330143,1.99,1.07,1.49
"AREA IRON & STEEL WORKS ",-0.1,1.23975727,0,-0.1,1.34,1.44,1.34
"TCB INDUSTRIAL INC ",-0.1,1.205934376,0,-0.1,1.3,1.4,1.3
"CECO BLDG SYSTEMS - IA - NCI",-0.1,1.027158894,-0.1,-0.2,1.11,1.21,1.11
"STEEL TECH INDUSTRIAL CORP.",-0.1,0.849166065,0,-0.1,0.92,1.02,0.92
"KTK GENERAL CONTRACTING LIMITE",-0.1,0.722550884,0,-0.1,0.78,0.88,0.78
"CASTLE STEEL",-0.1,0.603836045,0,-0.1,0.65,0.75,0.65
"SOUTHWEST IRONWORK INC",-0.1,0.376650178,-0.1,-0.2,0.51,0.61,0.51
"1-GENERAL BID",-0.1,0.384110294,0,-0.1,0.41,0.51,0.41
"WAL-MART REALTY",0.29367426,0.29367426,-0.2,0.09367426,0.32,-0.29367426,0
"WALKCON ",-0.1,0,0,-0.1,0,0.1,0
"ACT METAL DECK SUPPLY",-0.1,-0.2,-1.6,-1.7,0,0.1,0
"MK CUSTOM FABRICATION LLC. CO",-0.1,0,0,-0.1,0,0.1,0
"CALCO CONSTRUCTION SERVICES",-0.1,-0.1,-0.1,-0.2,0,0.1,0
"NEW MEXICO STEEL FABRICATORS ",-0.1,0,-0.2,-0.3,0,0.1,0
"MISCELLANEOUS SOLUTIONS LLC",-0.1,0,0,-0.1,0,0.1,0
"CUTTING EDGE FABRICATION",-0.1,0,0,-0.1,0,0.1,0
"DESERT STRUCTURES",-0.1,0,0,-0.1,0,0.1,0
"METAL DECK DIRECT",-0.1,0,-2.1,-2.2,0,0.1,0
"AFFILIATED RESOURCES, INC.",-0.1,0,0,-0.1,0,0.1,0
"SUPREME GROUP",-0.1,0,0,-0.1,0,0.1,0
"NEW MILLENNIUM - TN ",-0.1,-0.1,-0.1,-0.2,0,0.1,0
"STEELE SOLUTIONS INC. - OH",-0.1,-0.1,0,-0.1,0,0,-0.1
"FUTURE DB INTERNATIONAL INC.",0.403700717,0,-0.603700717,-0.2,0,-0.403700717,0
"NEW MILLENNIUM- FL",-0.1,-0.2,-0.2,-0.3,0,0.1,0
APEL,-0.1,0,-0.1,-0.2,0,0.1,0
"INFINITY METALS INC",-0.1,7.039599264,-0.3,-0.4,0,0.1,0
"STEEL SPECIALTIES INC",-0.1,0,0,-0.1,0,0.1,0
"TIPPEN STEEL SERVICES",-0.1,0,0,-0.1,0,0.1,0
"AMERICAN TRADITION CONSTRUCTIO",-0.1,0,0,-0.1,0,0.1,0
"ARC STEEL ",-0.1,0,0,-0.1,0,0.1,0
"UNITED METAL DECK LLC",-0.1,0,0,-0.1,0,0.1,0
"ALL THINGS METAL ",-0.1,0,0,-0.1,0,0.1,0
"ZZONE CONSTRUCTION, LLC",-0.1,0,0,-0.1,0,0.1,0
"SOUTHWESTERN STEEL & SUPPLY",-0.1,0,0,-0.1,0,0.1,0
"PROGRESSIVE ROOFING ",-0.1,0,0,-0.1,0,0.1,0
"GILLETT CONSTRUCTION",-0.1,0,0,-0.1,0,0.1,0
"NEW MILLENNIUM -AR ",-0.1,0,0,-0.1,0,0.1,0
"UNITED STRUCTURES OF AMERICA",-0.1,0,-0.1,-0.2,0,0.1,0
"BLUESCOPE CONSTRUCTION",-0.1,0,-0.1,-0.2,0,0.1,0
"VP BUILDINGS - WI",-0.1,0,0,-0.1,0,0.1,0
"BUTLER MFG - PA",-0.1,0,0,-0.1,0,0.1,0
"PRESCIENT CO",-0.1,-0.1,0,-0.1,0,0.1,0
"W & W STEEL",-0.1,0,0,-0.1,0,0.1,0
"WILLIAM A NASH FABRICATION",-0.1,0,0,-0.1,0,0.1,0
"MACARTHUR CO ",-0.1,0,0,-0.1,0,0.1,0
"R.T.I. BRIDGE",-0.1,0,0,-0.1,0,0.1,0
"MARTIN FIREPROOFING",-0.1,0,0,-0.1,0,0.1,0
KIEWIT,-0.1,0,0,-0.1,0,0.1,0
"PROJECT FROG INC.",-0.1,0,0,-0.1,0,0.1,0
"JOBSITE STEEL ",-0.1,0,-0.1,-0.2,0,0.1,0
"MCINTYRE METAL DECKING ",-0.1,0,-0.4,-0.5,0,0.1,0
"PACIFIC COAST IRON",-0.1,0,0,-0.1,0,0.1,0
"EL DORADO IRON WORKS INC",-0.1,0,0,-0.1,0,0.1,0
"A2I SYSTEMS",-0.1,0,0,-0.1,0,0.1,0
"BELL STEEL INC",-0.1,467.0572702,-0.2,-0.3,0,0.1,0
"ADF GROUPE",-0.1,0,0,-0.1,0,0.1,0
"ROCKY POINT IRON INC",-0.1,-0.1,0,-0.1,0,0.1,0
"CAMPBELL CERTIFIED, INC.",-0.1,0,0,-0.1,0,0.1,0
"BASIC METALS",-0.1,0,0,-0.1,0,0.1,0
"PRECISION IRON FAB ",-0.1,-0.1,0,-0.1,0,0.1,0
